name,signpost_id,start_s,end_s,duration_ms,begin_message,outcome
FeedDeceleration,0x66,15.686660166,16.036286166,349.62600000000066,,settled
FeedWebViewDetach,0x67,16.019764333,16.020087458,0.32312499999775923,item=game_0005,completed
FeedSettle,0x68,16.036289375,16.036499625,0.21025000000207683,,completed
FeedAssignWindow,0x69,16.036299291,16.036352291,0.05300000000119098,item=game_0003,completed
FeedRenderCells,0x6a,16.036322,16.036349458,0.027458000001701066,,completed
WebPoolReconcile,0x6b,16.036624541,16.036890208,0.2656670000007466,current=game_0003 eligible=game_0003,completed
WebSlotReset,0x6c,16.036634208,16.036857416,0.22320800000130703,item=game_0006,completed
FeedRenderCells,0x6d,16.036873916,16.036888875,0.014958999997816136,,completed
FeedDrag,0x6e,16.21192525,16.297039625,85.11437499999985,item=game_0003,drag ended
WebPoolReconcile,0x6f,16.213418666,16.213467541,0.048875000000947466,current=game_0003 eligible=none,completed
FeedRenderCells,0x70,16.21344225,16.213465916,0.023666000000588383,,completed
WebPoolReconcile,0x71,16.295086125,16.296317916,1.2317909999985943,current=game_0003 eligible=none,completed
WebLoadToReady,0x72,16.295182291,18.703908958,2408.726667,item=game_0001 role=adjacent slot=1,reset or cancelled
FeedRenderCells,0x73,16.295424916,16.296316166,0.8912499999986778,,completed
FeedWebViewAttach,0x74,16.295434625,16.296143458,0.708833000000908,item=game_0001,completed
FeedDeceleration,0x75,16.29704175,16.636388333,339.3465829999975,,settled
FeedRenderCells,0x76,16.316959625,16.316998375,0.03875000000164164,,completed
FeedWebViewDetach,0x77,16.619848875,16.623160958,3.312083000000854,item=game_0003,completed
FeedSettle,0x78,16.636395416,16.636543083,0.14766700000024002,,completed
FeedAssignWindow,0x79,16.636405083,16.636457125,0.05204200000008541,item=game_0001,completed
FeedRenderCells,0x7a,16.636423708,16.636454333,0.03062500000083901,,completed
WebPoolReconcile,0x7b,16.636667291,16.636933333,0.26604200000335254,current=game_0001 eligible=game_0001,completed
WebSlotReset,0x7c,16.636675291,16.636889,0.21370900000050597,item=game_0005,completed
FeedRenderCells,0x7d,16.636913666,16.636931958,0.01829200000003084,,completed
WebPoolReconcile,0x7e,16.673932208,16.674237083,0.3048750000012035,current=game_0001 eligible=game_0001,completed
WebLoadToReady,0x7f,16.6740175,18.703707625,2029.6901249999983,item=game_0000 role=adjacent slot=0,reset or cancelled
FeedRenderCells,0x80,16.6742065,16.674235291,0.028790999998307143,,completed
FeedRenderCells,0x81,16.690156958,16.690186416,0.029458000000204265,,completed
FeedDrag,0x82,16.878294291,16.93649175,58.19745899999873,item=game_0001,drag ended
WebPoolReconcile,0x83,16.878590166,16.87863625,0.04608400000094548,current=game_0001 eligible=none,completed
FeedRenderCells,0x84,16.878611,16.878634708,0.023708000000510765,,completed
FeedWebViewAttach,0x85,16.895083,16.896559666,1.4766660000020693,item=game_0000,completed
FeedDeceleration,0x86,16.936495125,17.269806958,333.31183299999975,,settled
FeedWebViewDetach,0x87,17.253372541,17.253657458,0.2849169999983303,item=game_0001,completed
FeedSettle,0x88,17.269810125,17.269957541,0.14741600000078847,,completed
FeedAssignWindow,0x89,17.269820375,17.269869583,0.0492080000000783,item=game_0000,completed
FeedRenderCells,0x8a,17.269839125,17.269867291,0.028165999999885116,,completed
WebPoolReconcile,0x8b,17.270086375,17.270348208,0.26183299999971155,current=game_0000 eligible=game_0000,completed
WebSlotReset,0x8c,17.270096583,17.270320208,0.22362500000028263,item=game_0003,completed
FeedRenderCells,0x8d,17.270332458,17.270346916,0.014458000002548488,,completed
FeedDrag,0x8e,17.528378208,17.578249708,49.871500000001845,item=game_0000,drag ended
WebPoolReconcile,0x8f,17.528652416,17.528712166,0.059749999998359726,current=game_0000 eligible=none,completed
FeedRenderCells,0x90,17.528670666,17.52869475,0.02408399999964672,,completed
FeedWebViewAttach,0x91,17.546352875,17.547008375,0.6555000000005862,item=game_0001,completed
FeedDeceleration,0x92,17.578252583,17.903563125,325.3105420000004,,new drag
FeedDrag,0x93,17.903567333,17.953325958,49.75862499999906,item=game_0000,drag ended
FeedWebViewDetach,0x94,17.911797208,17.912405083,0.6078750000000355,item=game_0000,completed
WebPoolReconcile,0x95,17.950120708,17.950170875,0.050167000001266615,current=game_0000 eligible=none,completed
FeedRenderCells,0x96,17.95014075,17.950169333,0.028583000002413428,,completed
FeedDeceleration,0x97,17.953328541,18.328448833,375.1202919999983,,new drag
FeedWebViewDetach,0x98,18.28800825,18.288302208,0.29395800000031613,item=game_0001,completed
FeedDrag,0x99,18.328452541,18.370056083,41.603542000000715,item=game_0000,drag ended
FeedDeceleration,0x9a,18.370058791,18.703374875,333.3160839999998,,settled
FeedSettle,0x9b,18.703378375,18.703519291,0.14091599999943583,,completed
