time_s,event_type,name,signpost_id,message,process,thread
16.346362583,Begin,FeedDrag,0x3a,item=game_0003,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
16.34637975,Event,FeedEligibility,OS_SIGNPOST_ID_EXCLUSIVE,item=none,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
16.346687583,Begin,WebPoolReconcile,0x3b,current=game_0003 eligible=none,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
16.346738166,Begin,FeedRenderCells,0x3c,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
16.346760416,End,FeedRenderCells,0x3c,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
16.346762083,End,WebPoolReconcile,0x3b,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
16.396309083,End,FeedDrag,0x3a,drag ended,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
16.396312333,Begin,FeedDeceleration,0x3d,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
16.737963958,End,FeedDeceleration,0x3d,settled,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
16.737965833,Begin,FeedSettle,0x3e,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
16.737972333,Event,FeedCurrentItem,OS_SIGNPOST_ID_EXCLUSIVE,index=1 item=game_0001,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
16.7379735,Begin,FeedAssignWindow,0x3f,item=game_0001,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
16.738005291,Begin,FeedRenderCells,0x40,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
16.738024625,End,FeedRenderCells,0x40,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
16.738025791,End,FeedAssignWindow,0x3f,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
16.738031625,Event,FeedEligibility,OS_SIGNPOST_ID_EXCLUSIVE,item=game_0001,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
16.738083958,End,FeedSettle,0x3e,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
16.738312333,Begin,WebPoolReconcile,0x41,current=game_0001 eligible=game_0001,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
16.738321375,Begin,WebSlotReset,0x42,item=game_0005,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
16.738436666,End,WebLoadToReady,0x37,reset or cancelled,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
16.738514291,End,WebSlotReset,0x42,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
16.738535541,Begin,WebPlayJS,0x43,item=game_0001,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
16.73876375,End,WebPlayJS,0x43,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
16.738939958,Begin,FeedRenderCells,0x44,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
16.738966166,End,FeedRenderCells,0x44,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
16.738967666,End,WebPoolReconcile,0x41,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
17.046616625,Begin,FeedDrag,0x45,item=game_0001,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
17.046628833,Event,FeedEligibility,OS_SIGNPOST_ID_EXCLUSIVE,item=none,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
17.046934291,Begin,WebPoolReconcile,0x46,current=game_0001 eligible=none,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
17.046939958,Begin,WebPauseJS,0x47,item=game_0001,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
17.048527833,End,WebPauseJS,0x47,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
