start_s,duration_s,presented_surfaces,fps
0.0,1.0,33,33.0
1.0,1.0,76,76.0
2.0,1.0,60,60.0
3.0,1.0,60,60.0
4.0,1.0,60,60.0
5.0,1.0,60,60.0
6.0,1.0,60,60.0
7.0,1.0,60,60.0
8.0,1.0,60,60.0
9.0,1.0,52,52.0
10.0,1.0,7,7.0
11.0,1.0,78,78.0
12.0,1.0,120,120.0
13.0,1.0,115,115.0
14.0,1.0,34,34.0
15.0,1.0,0,0.0
16.0,1.0,68,68.0
17.0,1.0,53,53.0
18.0,1.0,51,51.0
19.0,1.0,41,41.0
20.0,1.0,49,49.0
21.0,1.0,35,35.0
22.0,1.0,10,10.0
23.0,1.0,69,69.0
24.0,1.0,59,59.0
25.0,1.0,70,70.0
26.0,1.0,19,19.0
27.0,1.0,49,49.0
28.0,1.0,71,71.0
29.0,1.0,60,60.0
30.0,1.0,83,83.0
31.0,1.0,64,64.0
32.0,1.0,80,80.0
33.0,1.0,82,82.0
34.0,1.0,81,81.0
35.0,1.0,78,78.0
36.0,1.0,64,64.0
37.0,1.0,77,77.0
38.0,1.0,53,53.0
39.0,1.0,46,46.0
40.0,1.0,3,3.0
41.0,1.0,43,43.0
42.0,1.0,17,17.0
43.0,1.0,27,27.0
44.0,1.0,0,0.0
45.0,1.0,28,28.0
46.0,1.0,65,65.0
47.0,1.0,80,80.0
48.0,1.0,0,0.0
49.0,1.0,44,44.0
50.0,1.0,50,50.0
51.0,0.048669099,1,20.546918281762316
